epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.475,4.82054,4.34017,3.89307,8e-05,0.00149,5e-05,1e-05,5.11771,4.20391,3.7387,0.0703333,0.0032963,0.0032963
2,68.0654,3.8304,3.65571,3.1907,0.01564,0.11341,0.01102,0.00315,3.20333,3.53713,2.76588,0.0402677,0.006564,0.006564
3,99.9342,3.3704,3.31316,2.70713,0.00336,0.01426,0.00128,0.00025,3.9525,inf,3.4116,0.0101361,0.0097657,0.0097657
4,131.446,3.00207,3.03928,2.54184,0.01012,0.02349,0.00568,0.0017,2.80948,inf,2.43035,0.009703,0.009703,0.009703
5,160.767,2.78849,2.69948,2.33594,0.03281,0.06425,0.02627,0.00952,3.26001,3.83817,2.66341,0.009604,0.009604,0.009604
6,187.023,2.55931,2.4755,2.19069,0.08605,0.14325,0.06953,0.0208,2.9137,2.59009,2.41897,0.009505,0.009505,0.009505
7,213.163,2.39004,2.32921,2.00179,0.2279,0.1799,0.10776,0.04174,2.23121,2.27004,1.91398,0.009406,0.009406,0.009406
8,239.127,2.24583,2.13145,1.86183,0.24325,0.1964,0.11753,0.04982,1.98946,2.10867,1.75663,0.009307,0.009307,0.009307
9,265.388,2.18815,2.05558,1.81349,0.1282,0.25564,0.15346,0.07133,1.85239,1.91869,1.65873,0.009208,0.009208,0.009208
10,291.695,2.0547,1.99116,1.72038,0.27295,0.32043,0.1605,0.07256,1.93963,1.90081,1.66596,0.009109,0.009109,0.009109
11,318.073,2.01238,1.91935,1.69459,0.2901,0.32648,0.19523,0.09333,1.78419,1.75674,1.56249,0.00901,0.00901,0.00901
12,344.007,1.94415,1.89602,1.65125,0.45813,0.29722,0.1953,0.09024,1.78018,1.75167,1.54807,0.008911,0.008911,0.008911
13,369.883,1.88941,1.81587,1.56993,0.46943,0.3251,0.21333,0.10492,1.69904,1.69073,1.49578,0.008812,0.008812,0.008812
14,395.756,1.82855,1.79421,1.53122,0.32068,0.33972,0.22759,0.11918,1.67209,1.68002,1.46286,0.008713,0.008713,0.008713
15,422.023,1.77385,1.77996,1.52655,0.32724,0.37201,0.24246,0.12789,1.70948,1.6621,1.46632,0.008614,0.008614,0.008614
16,447.836,1.75629,1.73041,1.48483,0.31131,0.4492,0.25386,0.13662,1.53854,1.62697,1.38896,0.008515,0.008515,0.008515
17,473.687,1.66761,1.69719,1.42862,0.49132,0.34947,0.26294,0.14716,1.52334,1.60419,1.36683,0.008416,0.008416,0.008416
